text,label
"they don't want you to know the truth about what is happening",ragebait
"this shocking betrayal proves the system is corrupt",ragebait
"these people are destroying everything and nobody is stopping them",ragebait
"wake up before it is too late",ragebait
"this tutorial explains how to organize your files",normal
"today we are learning how to make pasta",normal
"this video explains the basics of photosynthesis",normal
"here are five tips for studying more effectively",normal
"you will not believe what happened next in this challenge",ragebait
"this is the most shocking ending we have ever filmed",ragebait
"everyone is losing their minds over this one mistake",ragebait
"this changes everything and nobody saw it coming",ragebait
"the internet is furious about what just happened",ragebait
"this secret has finally been exposed",ragebait
"they tried to hide this from you but now the truth is out",ragebait
"this is exactly why people are angry",ragebait
"the media does not want you to hear this story",ragebait
"this proves how broken the system really is",ragebait
"these people are destroying the country and nobody is stopping them",ragebait
"this dangerous agenda is being pushed everywhere",ragebait
"wake up before it is too late",ragebait
"the elites are laughing while regular people suffer",ragebait
"this is not just bad it is disgusting",ragebait
"they are lying to your face and expecting you to believe it",ragebait
"this scandal proves everything we warned you about",ragebait
"people like you are being silenced every day",ragebait
"this is a crisis and everyone should be paying attention",ragebait
"the truth about this situation is finally coming out",ragebait
"this celebrity drama is more serious than people realize",ragebait
"fans are outraged after the shocking announcement",ragebait
"this one decision ruined everything",ragebait
"people are furious and honestly they should be",ragebait
"this is the kind of betrayal that changes everything",ragebait
"today we are going to test a new recipe",normal
"this video explains how to use a budget planner",normal
"here is a calm summary of what happened this week",normal
"this lecture explains how breadth first search works",normal
"we will compare different ways to solve this problem",normal
"this tutorial shows how to set up a python project",normal
"today I am reviewing a product and sharing my experience",normal
"this video gives a step by step explanation of the topic",normal
"we are going to discuss both sides of the issue",normal
"this news update summarizes the main facts from the report",normal
"the goal of this video is to explain the background clearly",normal
"this is a beginner friendly guide to machine learning",normal
"today we are learning how to train a simple classifier",normal
"this video explains the history of the event",normal
"here are some tips for organizing your study schedule",normal
"this discussion focuses on evidence and context",normal
"we will look at the data before making a conclusion",normal
"this is a neutral overview of the recent announcement",normal
"the speaker explains the argument in a calm way",normal
"this video teaches how to improve your resume",normal
